ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GEO_ID2,x,y,GEO_ID,FSF_Buildi,CountModEx,PcModExt,Fath_Build,year500,Per500Fath,Per100Fath,TOTPOP,TOTHOU,POVERT,UNEMP,FEMHH,DISABL,FORBORN,LIMENG,HISPAN,BLACK,ASIAN,INDIGE,OTHTWO,AGE65,AGE19,MHSAGE,MHSVAL,NOHSD,EXTRAC,AGREXT,RENTER,MOBHOM,NOAUTO,UNINSU,avgRainfal,ChangeDev,INTENS,IMPERV,VACAT
73949,73949,B5,G6350,S,1171200026,5143278,36.5969243,-101.9877422,ZCTA5 73949,-102.03823,36.46307,860Z200US73949,2196,260,0.118397086,361,2,0.006,0.003,1357,608,0.143699337,0.02188392,0.030434783,0.130434783,0.156963891,0,0.352247605,0,0,0.00073692,0.246131172,0.195283714,0.29550479,66.02467105,98919.30836,0.123947052,0.00330033,0.245874587,0.245652174,0.141304348,0.017391304,0.132645542,436.9164379,0.014,12.26792457,0.132320944,0
75556,75556,B5,G6350,S,61638281,190950,33.1547887,-94.0624075,ZCTA5 75556,-94.0628,33.1517,860Z200US75556,1137,108,0.094986807,789,6,0.008,0.005,1162,509,0.267641997,0.056306306,0.004830918,0.113321799,0.007745267,0,0.06626506,0.016351119,0.000860585,0,0.046471601,0.163511188,0.301204819,41.35854617,78813.55932,0.132575758,0.042253521,0.044265594,0.287439614,0.376811594,0.050724638,0.153114187,1251.487053,0.187,16.62500014,1.340965129,0.063157895
79922,79922,B5,G6350,S,20868598,220641,31.8103693,-106.5559638,ZCTA5 79922,-106.56123,31.81557,860Z200US79922,3678,580,0.157694399,3645,542,0.149,0.026,7210,3068,0.064453396,0.017299295,0.024199553,0.114182525,0.157281553,0,0.67517337,0.009570042,0.020804438,0.008183079,0.281137309,0.209708738,0.23592233,47.55182529,269790.7861,0.08770201,0,0.001117318,0.119136262,0,0.017498138,0.117516322,228.8607557,4.377,6.982352958,33.36375777,0.091623037
88430,88430,B5,G6350,S,1154822340,119231,35.6701173,-103.209111,ZCTA5 88430,-103.02556,35.57148,860Z200US88430,430,57,0.13255814,16,3,0.188,0.125,162,150,0.234567901,0.019607843,0.026315789,0.320987654,0,0,0,0,0,0,0.067901235,0.481481481,0.135802469,61.1,42647.05882,0,0,0.225,0.105263158,0.618421053,0,0,428.0951568,0,11.10357165,0.042556943,1
79835,79835,B5,G6350,S,22937438,417567,31.9356531,-106.5960888,ZCTA5 79835,-106.59456,31.93562,860Z200US79835,4265,760,0.178194607,4125,528,0.128,0.044,12231,4552,0.283787098,0.024692725,0.069482629,0.129505242,0.313874581,0,0.925026572,0.001308151,0.015370779,0.00147167,0.501757828,0.152726678,0.324993868,35.74121265,89937.26687,0.334565131,0.012019747,0.021463833,0.262934266,0.336915771,0.071482129,0.249098952,215.1901541,5.292,7.258333246,18.66297308,0.206896552
79837,79837,B5,G6350,S,2816585533,13321362,32.0952608,-105.1624069,ZCTA5 79837,-105.10448,31.89886,860Z200US79837,1194,250,0.209380235,573,42,0.073,0.024,175,188,0.102857143,0.00617284,0.142857143,0.114285714,0.217142857,0,0.508571429,0,0,0.005714286,0.205714286,0.217142857,0.074285714,43.55319149,25000,0.296296296,0,0.401639344,0.523809524,0.523809524,0.023809524,0.097142857,234.4552215,0.076,7.710958943,0.388416401,0.355769231
76905,76905,B5,G6350,S,475331837,0,31.4998299,-100.3158016,ZCTA5 76905,-100.31584,31.49989,860Z200US76905,6091,609,0.099983582,7223,349,0.048,0.029,13052,5349,0.125507935,0.028596187,0.050369084,0.112182502,0.052942078,0,0.376723874,0.041679436,0.00927061,0.004673613,0.170242108,0.142353662,0.334967821,42.90026173,144352.7919,0.105674653,0.032324365,0.043908819,0.315675206,0.066652193,0.016717325,0.113436814,574.0293915,0.584,13.31987177,1.984933577,0.012113055
79416,79416,B5,G6350,S,83264781,813711,33.6001136,-101.9827746,ZCTA5 79416,-101.97654,33.60473,860Z200US79416,11762,197,0.016748852,12262,244,0.02,0.005,34864,15302,0.203342779,0.020095453,0.048723044,0.097430129,0.085102111,0.006049325,0.343391464,0.080369436,0.026933226,0.008633547,0.141205828,0.111346948,0.267094998,36.1960528,175442.1162,0.08088084,0.014527982,0.02357264,0.504747185,0.041142268,0.028851108,0.107928817,467.6540136,3.632,10.25476191,13.11058423,0.07696793
75604,75604,B5,G6350,S,114299805,905317,32.513584,-94.8280481,ZCTA5 75604,-94.8292,32.51371,860Z200US75604,11913,1299,0.109040544,11974,541,0.045,0.036,30349,12999,0.176106458,0.028331217,0.108523801,0.135385022,0.06632838,0,0.201752941,0.159214472,0.005304952,0.001186201,0.114303601,0.151471218,0.301229036,44.45238095,124404.4074,0.152468439,0.031901476,0.036352845,0.422924901,0.091768345,0.051039698,0.168108572,1202.00482,2.073,16.22035402,19.18973826,0.063923586
75020,75020,B5,G6350,S,158057347,12679987,33.7727224,-96.6069616,ZCTA5 75020,-96.6039,33.77265,860Z200US75020,13161,954,0.072486893,11197,384,0.034,0.025,23184,10414,0.165204037,0.047731908,0.046737117,0.187723117,0.027691511,0,0.084670462,0.080788475,0.008799172,0.007720842,0.096747757,0.190131125,0.273205659,52.3503937,146520.7581,0.085298064,0.011281634,0.02225836,0.396448415,0.038566293,0.072012202,0.188593818,1043.868404,1.305,16.62259898,7.944388511,0.228340081
